;dt;stock_symbol;sentiment_bullish;sentiment_not_bullish;Adj Close;Close;High;Low;Open;Volume
0;2021-05-11;GME;2712.6099999999997;0.0;146.9199981689453;146.9199981689453;150.5;136.5;137.0;4684600.0
1;2021-05-12;GME;0.0;598.4;144.7899932861328;144.7899932861328;150.5;142.22999572753906;145.6999969482422;2731500.0
2;2021-05-13;GME;5333.02;0.0;164.5;164.5;169.9499969482422;146.42999267578125;147.44000244140625;8873500.0
3;2021-05-14;GME;1935.4599999999998;3551.06;159.9199981689453;159.9199981689453;166.47000122070312;156.22000122070312;160.0;4293500.0
4;2021-05-15;GME;17756.920000000002;12833.59;159.9199981689453;159.9199981689453;166.47000122070312;156.22000122070312;160.0;4293500.0
5;2021-05-16;GME;0.0;0.0;159.9199981689453;159.9199981689453;166.47000122070312;156.22000122070312;160.0;4293500.0
6;2021-05-17;GME;0.0;0.0;180.60000610351562;180.60000610351562;182.5;159.0;159.85000610351562;7462100.0
7;2021-05-18;GME;759.17;12254.9;180.6699981689453;180.6699981689453;189.1999969482422;168.27000427246094;174.5399932861328;7738700.0
8;2021-05-19;GME;31211.14;2107.1;168.8300018310547;168.8300018310547;178.97999572753906;164.14999389648438;171.99000549316406;4825900.0
9;2021-05-20;GME;165.24;854.59;170.49000549316406;170.49000549316406;174.91000366210938;166.89999389648438;170.7899932861328;2478200.0
10;2021-05-21;GME;2690.8199999999997;0.0;176.7899932861328;176.7899932861328;179.24000549316406;170.3300018310547;171.0;3654700.0
11;2021-05-22;GME;398.62;17996.7;176.7899932861328;176.7899932861328;179.24000549316406;170.3300018310547;171.0;3654700.0
12;2021-05-23;GME;192.27;7920.48;176.7899932861328;176.7899932861328;179.24000549316406;170.3300018310547;171.0;3654700.0
13;2021-05-24;GME;1700.79;0.0;180.00999450683594;180.00999450683594;188.4600067138672;173.35000610351562;175.85000610351562;4664300.0
14;2021-05-25;GME;234.08;1402.44;209.42999267578125;209.42999267578125;217.11000061035156;181.0;181.0;14887500.0
15;2021-05-26;GME;30538.100000000002;1329.96;242.55999755859375;242.55999755859375;248.47999572753906;225.5500030517578;229.0;21119900.0
